[11, 15, 10, 8, 16, 14, 42, 3, 8, 22];11호;너란 부분 (Feat. 길, Ekko)
[4, 19, 13, 8, 6, 22, 7, 12, 6, 6];에디킴;긴 밤이 오면
[6, 11, 3, 3, 4, 10, 11, 2, 2, 5];로이킴;좋겠다
[3, 3, 3, 1, 6, 11, 23, 4, 1, 7];수지;I Love You Boy
[2, 9, 6, 2, 9, 6, 14, 2, 2, 9];브라더수,SE O (세오),;당신이 잠든 사이에
[1, 4, 6, 1, 3, 9, 6, 0, 0, 4];SE O (세오);너의 세상
[8, 10, 6, 0, 0, 11, 2, 8, 0, 2];모노그램;자각몽
[5, 21, 7, 6, 2, 17, 16, 10, 2, 14];DAVINK (다빈크);크리스마스 선물 (Feat. MC Meta)
[27, 13, 33, 0, 6, 39, 23, 13, 5, 17];디 로드 (D.Road);같애 (same)
[3, 9, 2, 6, 3, 19, 16, 13, 2, 9];디 로드 (D.Road);그해 그 시절
[30, 34, 37, 16, 21, 82, 51, 27, 10, 44];Dok2,The Quiett,김효은,Hash Swan,창모 (CHANGMO),;No Switchin` Sides
[7, 5, 6, 4, 8, 19, 26, 4, 2, 13];플라이 투 더 스카이;너의 계절
[7, 5, 4, 1, 2, 20, 14, 11, 1, 16];플라이 투 더 스카이;무슨 말이라도 해봐
[7, 13, 6, 7, 1, 29, 6, 17, 1, 5];플라이 투 더 스카이;흔적
[2, 5, 2, 6, 3, 10, 13, 4, 3, 9];플라이 투 더 스카이;Into you
[3, 3, 3, 15, 1, 21, 4, 13, 1, 6];라언;사이
[3, 5, 4, 3, 2, 11, 7, 0, 1, 2];CHASY;Daydream (Feat. 한결)
[0, 3, 9, 6, 4, 23, 9, 7, 3, 5];정창현;이 새벽에
[12, 17, 12, 16, 4, 32, 4, 23, 4, 2];정창현;알아
[6, 8, 11, 4, 5, 17, 14, 6, 9, 5];키겐;PRADA SHOES (Feat. ESBEE)
[8, 1, 7, 6, 2, 14, 8, 5, 0, 4];키겐;ZOO
[8, 14, 8, 5, 5, 20, 15, 16, 5, 8];키겐;흐림 (Feat. 솔라 of 마마무)
[9, 17, 7, 16, 4, 11, 40, 2, 3, 18];키겐;현대 의학의 힘
[23, 9, 22, 12, 5, 33, 16, 11, 4, 4];키겐;을 (Feat. 버벌진트, ESBEE)
[7, 3, 5, 0, 10, 7, 12, 0, 1, 3];검은잎들;수 마디 사랑
[5, 13, 6, 0, 9, 7, 27, 0, 0, 24];MAD KOIN;널 원해 (Feat. 우예린)
[8, 6, 15, 5, 1, 28, 4, 6, 1, 8];국카스텐;이방인
[14, 4, 10, 20, 4, 33, 12, 20, 7, 9];국카스텐;플레어 (Flare)
[5, 7, 9, 7, 3, 18, 10, 6, 4, 4];국카스텐;나침반
[4, 10, 14, 1, 2, 22, 2, 5, 2, 6];국카스텐;이방인 Electronic Ver X 곰팡이
[6, 4, 8, 7, 1, 17, 7, 4, 1, 4];국카스텐;카눌라 (Canular) Piano Ver X AEV
[5, 9, 3, 3, 14, 20, 50, 7, 4, 15];민서,윤종신,;좋아
[0, 3, 1, 5, 7, 24, 19, 11, 0, 10];LambC (램씨);WINTER
[3, 5, 4, 1, 5, 16, 28, 13, 1, 14];LambC (램씨);Once (Feat. 이요한(OFA), Corduroy)
[9, 9, 10, 6, 5, 21, 22, 8, 3, 13];리썬;Everything
[8, 6, 13, 1, 0, 21, 9, 16, 0, 4];와러서커스 (What A Circus);고속도로 금지곡 (Feat. 권병호)
[9, 2, 10, 4, 0, 26, 2, 9, 0, 7];로큰롤라디오;Punctum
[4, 12, 5, 4, 5, 15, 14, 5, 3, 12];아토 (ATO);예뻐 (Prod. 윤한)
[5, 0, 6, 5, 0, 21, 18, 8, 0, 11];샤인;#My Way
[2, 8, 3, 0, 2, 4, 14, 0, 3, 19];한올 (Han-All);틀
[7, 3, 8, 8, 1, 27, 17, 5, 5, 9];한올 (Han-All);망설여
[7, 1, 10, 2, 0, 14, 25, 10, 3, 9];한올 (Han-All);네가 그렇지 뭐
[1, 10, 6, 0, 4, 17, 13, 4, 4, 7];한올 (Han-All);새벽 통화
[6, 4, 9, 1, 1, 20, 8, 3, 0, 5];한올 (Han-All);귀찮아
[3, 3, 7, 4, 2, 11, 9, 2, 2, 5];한올 (Han-All);누군가의 위로가 필요한 밤 (Remastered)
[1, 2, 1, 1, 1, 36, 5, 18, 2, 5];한올 (Han-All);우리 빼고
[0, 1, 1, 3, 6, 6, 10, 2, 1, 4];한올 (Han-All);양보다 그대
[1, 11, 3, 4, 7, 9, 15, 6, 10, 8];한올 (Han-All);첫 눈 (With 이민혁)
[2, 8, 2, 0, 0, 6, 6, 3, 0, 5];한올 (Han-All);너와 나는
[1, 2, 1, 0, 3, 7, 11, 3, 2, 7];한올 (Han-All);깊이 잠들어요 (Remastered)
[3, 8, 15, 11, 8, 15, 21, 9, 4, 15];장우준;가고 싶은 데로
[3, 16, 2, 5, 13, 14, 25, 2, 6, 7];장우준;BECUZ OF YOU
[8, 16, 8, 9, 8, 23, 27, 8, 7, 13];장우준;WAY YOU MOVE
[10, 18, 4, 10, 7, 28, 29, 17, 0, 15];에스프레소;여전해 (Feat. 기니비니)
[6, 18, 6, 6, 6, 23, 16, 12, 0, 5];나비드 (NAVID);널 떠난다
[7, 30, 12, 10, 7, 36, 27, 8, 1, 30];미료;We Love (Feat. 윤종신)
[3, 15, 6, 3, 4, 21, 22, 19, 5, 8];보인;EXTRA
[0, 15, 4, 1, 2, 7, 22, 1, 1, 13];펜타곤 (PENTAGON);머물러줘 (Vocal Unit)
[3, 14, 4, 12, 5, 26, 14, 6, 3, 11];러블리즈;종소리
[3, 12, 12, 2, 13, 25, 32, 11, 4, 34];러블리즈;삼각형
[17, 8, 19, 6, 10, 39, 27, 9, 8, 37];러블리즈;그냥
[3, 11, 3, 7, 7, 7, 10, 5, 7, 9];러블리즈;FALLIN`
[4, 21, 4, 4, 8, 17, 32, 9, 7, 10];러블리즈;비밀정원
[7, 10, 8, 4, 6, 19, 18, 9, 7, 8];러블리즈;졸린 꿈
[1, 12, 2, 2, 4, 7, 8, 3, 1, 1];김동완;안녕, 잠시만
[6, 9, 4, 9, 3, 30, 17, 10, 4, 3];김동완;미치도록
[3, 11, 3, 7, 1, 17, 15, 10, 3, 4];김동완;헤어지긴 한 걸까
[3, 3, 6, 1, 8, 6, 19, 1, 3, 11];더 핀 (The Finnn);오렌지
[2, 1, 4, 1, 3, 4, 4, 1, 0, 1];더 핀 (The Finnn);얼굴이 예쁜 아가씨
[25, 3, 24, 2, 2, 29, 16, 3, 17, 7];송용창;퍼즐
[6, 3, 12, 5, 0, 25, 7, 1, 2, 5];송용창;거짓말
[13, 4, 8, 3, 4, 19, 5, 3, 1, 1];송용창;그대 눈은 호수다
[13, 4, 14, 20, 1, 42, 2, 14, 1, 3];송용창;싹
[4, 1, 4, 3, 1, 13, 9, 1, 3, 1];송용창;침입자
[12, 1, 12, 3, 2, 23, 11, 5, 1, 11];송용창;오 난
[8, 1, 13, 10, 6, 25, 12, 5, 1, 8];송용창;늪
[7, 1, 7, 12, 0, 22, 4, 8, 0, 10];송용창;두려움에 관하여
[2, 3, 13, 3, 2, 17, 6, 2, 1, 4];송용창;표류자
[8, 14, 11, 9, 12, 23, 31, 6, 5, 15];2TONE (투톤);bring `em
[8, 20, 9, 12, 5, 27, 14, 18, 1, 11];2TONE (투톤);준비운동
[1, 8, 4, 18, 9, 33, 21, 8, 6, 13];015B;엄마가 많이 아파요 (With 윤종신)
[3, 1, 3, 2, 0, 9, 7, 2, 3, 7];문나이프 (Moon Knife),하우스룰즈 (House Rulez),;Love Sick (Feat. Alicia)
[3, 12, 9, 6, 11, 23, 21, 5, 8, 13];유연정 (우주소녀);멜로홀릭
[5, 8, 4, 5, 9, 13, 23, 2, 1, 11];마이큐;목이 늘어난 티를 입고
[2, 4, 7, 3, 9, 25, 12, 21, 2, 3];방과후 프린세스 마이카;그대만을 기억합니다
[6, 7, 7, 8, 9, 18, 22, 5, 4, 11];김은비;마지막 남자
[3, 9, 8, 2, 5, 18, 16, 7, 4, 5];슬로디 (Slou.D);잘지내 (With 이서진)
[6, 4, 4, 3, 20, 9, 25, 5, 3, 4];지프크락 (Zipe krock);Royal
[11, 12, 15, 9, 12, 18, 25, 13, 1, 16];지프크락 (Zipe krock);로미오의 마지막 밤은,
[2, 7, 2, 0, 2, 6, 5, 4, 0, 3];지프크락 (Zipe krock);11월을 보내며
[12, 12, 12, 9, 7, 16, 30, 10, 3, 10];지프크락 (Zipe krock);Phone Call
